key,match
entry.resource.valueString,ClinicalDocument.component.structuredBody.component.section.entry.organizer.component.observation.value.@value
entry.resource.identifier.value,ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.performer.assignedEntity.id.extension
entry.resource.status,ClinicalDocument.component.structuredBody.component.section.entry.procedure.statusCode.code
entry.resource.bornDate,ClinicalDocument.component.structuredBody.component.section.entry.organizer.subject.relatedSubject.subject.birthTime.value
entry.resource.contact.address.postalCode,ClinicalDocument.recordTarget.patientRole.patient.guardian.addr.postalCode.@value
entry.resource.code.coding.code,ClinicalDocument.component.structuredBody.component.section.entry.procedure.code.code
entry.resource.name.given,ClinicalDocument.component.structuredBody.component.section.text.table.thead.tr.th.colspan
entry.resource.name.family,ClinicalDocument.recordTarget.patientRole.patient.name.family.@value
entry.resource.route.coding.code,ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.routeCode.code
entry.resource.status,ClinicalDocument.component.structuredBody.component.section.entry.observation.statusCode.code
entry.resource.identifier.value,ClinicalDocument.id.extension
entry.resource.section.code.coding.display,ClinicalDocument.component.structuredBody.component.section.entry.act.code.displayName
entry.resource.name,ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.consumable.manufacturedProduct.manufacturerOrganization.name.@value
entry.resource.code.text,ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.observation.value.translation.displayName
entry.resource.type.coding.version,ClinicalDocument.component.structuredBody.component.section.entry.encounter.code.codeSystemVersion
entry.resource.type.coding.display,ClinicalDocument.component.structuredBody.component.section.entry.encounter.code.displayName
entry.resource.section.entry.display,ClinicalDocument.component.structuredBody.component.section.entry.observation.code.displayName
entry.resource.identifier.value,ClinicalDocument.component.structuredBody.component.section.entry.encounter.id.extension
entry.resource.vaccineCode.coding.display,ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.consumable.manufacturedProduct.manufacturedMaterial.code.displayName
entry.resource.identifier.value,ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.id.root
entry.resource.identifier.value,ClinicalDocument.component.structuredBody.component.section.entry.encounter.entryRelationship.act.entryRelationship.observation.id.root
entry.resource.code.coding.display,ClinicalDocument.component.structuredBody.component.section.entry.organizer.component.observation.code.displayName
entry.resource.identifier.assigner.display,ClinicalDocument.id.assigningAuthorityName
entry.resource.communication.language.coding.code,ClinicalDocument.recordTarget.patientRole.patient.languageCommunication.languageCode.code
entry.resource.quantity.unit,ClinicalDocument.versionNumber.value
entry.resource.address.postalCode,ClinicalDocument.documentationOf.serviceEvent.performer.assignedEntity.addr.postalCode.@value
entry.resource.identifier.value,ClinicalDocument.component.structuredBody.component.section.entry.observation.id.extension
entry.resource.identifier.value,ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.performer.assignedEntity.representedOrganization.id.extension
entry.resource.extension.valueAddress.city,ClinicalDocument.recordTarget.patientRole.patient.birthplace.place.addr.city.@value
entry.resource.clinicalStatus.coding.code,ClinicalDocument.component.structuredBody.component.section.entry.procedure.statusCode.code
entry.resource.clinicalStatus.coding.code,ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.observation.entryRelationship.observation.value.displayName
entry.resource.code.coding.display,ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.consumable.manufacturedProduct.manufacturedMaterial.code.translation.displayName
entry.resource.code.coding.display,ClinicalDocument.component.structuredBody.component.section.entry.observation.code.displayName
